Unnamed: 0,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity,Energy Class,Mood Score
1,Senorita,Shawn Mendes,canadian pop,117,55,76,-6,8,75,191,4,3,79,High Energy,75.4
2,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92,High Energy,68.2
3,boyfriend (with Social House),Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,High Energy,58.0
4,Beautiful People (feat. Khalid),Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19,86,High Energy,58.6
5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,150,65,58,-4,11,18,175,45,7,94,High Energy,34.0
6,I Don't Care (with Justin Bieber),Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,High Energy,82.4
7,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,High Energy,43.8
8,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,High Energy,40.2
9,Old Town Road - Remix,Lil Nas X,country rap,136,62,88,-6,11,64,157,5,10,87,High Energy,73.6
10,bad guy,Billie Eilish,electropop,135,43,70,-11,10,56,194,33,38,95,High Energy,61.6
11,Callaita,Bad Bunny,reggaeton,176,62,61,-5,24,24,251,60,31,93,High Energy,38.8
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,96,71,82,-4,15,38,185,28,7,86,High Energy,55.60000000000001
13,Someone You Loved,Lewis Capaldi,pop,110,41,50,-6,11,45,182,75,3,88,High Energy,47.0
14,Otro Trago - Remix,Sech,panamanian pop,176,79,73,-2,6,76,288,7,20,87,High Energy,74.80000000000001
15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,101,50,83,-4,12,10,205,10,5,92,High Energy,39.2
16,No Guidance (feat. Drake),Chris Brown,dance pop,93,45,70,-7,16,14,261,12,15,82,High Energy,36.4
17,LA CANCI�N,J Balvin,latin,176,65,75,-6,11,43,243,15,32,90,High Energy,55.8
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,90,48,76,-6,7,91,158,56,5,91,High Energy,85.0
19,Lalala,Y2K,canadian hip hop,130,39,84,-8,14,50,161,18,8,88,High Energy,63.6
20,Truth Hurts,Lizzo,escape room,158,62,72,-3,12,41,173,11,11,91,High Energy,53.4
21,Piece Of Your Heart,MEDUZA,pop house,124,74,68,-7,7,63,153,4,3,91,High Energy,65.0
